Firm,Line Item,t,t-1,t-2,t-3,t-4,t-5,t-6,t-7
FirmA,Cash and Cash Equivalents,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0
FirmA,Accounts Receivable,48995000000.0,35673000000.0,29299000000.0,30343000000.0,27219000000.0,20641000000.0,18692000000.0,11717000000.0
FirmA,Inventory,3956000000.0,4855000000.0,2132000000.0,2349000000.0,2111000000.0,1764000000.0,791000000.0,776000000.0
FirmA,Other Current Assets,12087000000.0,13936000000.0,8283000000.0,15085000000.0,14124000000.0,10335000000.0,9041000000.0,6543000000.0
FirmA,Total Current Assets,131339000000.0,128645000000.0,106869000000.0,89378000000.0,68531000000.0,73286000000.0,57653000000.0,44988000000.0
FirmA,Property Plant & Equipment,,,,,,,,
FirmA,Intangible Assets,0.0,2298000000.0,3206000000.0,3893000000.0,4142000000.0,4179000000.0,4224000000.0,3536000000.0
FirmA,Other Non-Current Assets,22283000000.0,18177000000.0,8757000000.0,5422000000.0,3764000000.0,5146000000.0,5478000000.0,3556000000.0
FirmA,Total Assets,365725000000.0,375319000000.0,321686000000.0,290345000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0
FirmA,Accounts Payable,55888000000.0,44242000000.0,37294000000.0,35490000000.0,30196000000.0,22367000000.0,21175000000.0,14632000000.0
FirmA,Short-Term Debt,20748000000.0,18473000000.0,11605000000.0,10999000000.0,6308000000.0,0.0,0.0,0.0
FirmA,Other Current Liabilities,39293000000.0,30551000000.0,22027000000.0,25181000000.0,17244000000.0,12656000000.0,8387000000.0,6069000000.0
FirmA,Total Current Liabilities,115929000000.0,100814000000.0,79006000000.0,80610000000.0,63448000000.0,43658000000.0,38542000000.0,27970000000.0
FirmA,Long-Term Debt,93735000000.0,97207000000.0,75427000000.0,53329000000.0,28987000000.0,16960000000.0,0.0,0.0
FirmA,Other Non-Current Liabilities,45691000000.0,40415000000.0,36074000000.0,33427000000.0,4567000000.0,20208000000.0,316000000.0,280000000.0
FirmA,Total Liabilities,258578000000.0,241272000000.0,193437000000.0,170990000000.0,120292000000.0,83451000000.0,57854000000.0,39756000000.0
FirmA,Total Equity,107147000000.0,134047000000.0,128249000000.0,119355000000.0,111547000000.0,123549000000.0,118210000000.0,76615000000.0
FirmA,Total Liabilities and Equity,365725000000.0,375319000000.0,321686000000.0,290345000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0
FirmA,Revenues,265595000000.0,229234000000.0,215639000000.0,233715000000.0,182795000000.0,170910000000.0,156508000000.0,108249000000.0
FirmA,Cost of Goods Sold (COGS),163756000000.0,141048000000.0,131376000000.0,140089000000.0,112258000000.0,106606000000.0,87846000000.0,64431000000.0
FirmA,Gross Profit,101839000000.0,88186000000.0,84263000000.0,93626000000.0,70537000000.0,64304000000.0,68662000000.0,43818000000.0
FirmA,Operating Expenses,31382000000.0,26975000000.0,25434000000.0,23299000000.0,18465000000.0,15629000000.0,13987000000.0,10028000000.0
FirmA,Depreciation and Amortization,9300000000.0,9400000000.0,9800000000.0,11257000000.0,7946000000.0,6757000000.0,3277000000.0,1814000000.0
FirmA,Total Operating Expenses,,,,,,,,
FirmA,Operating Income,70898000000.0,61344000000.0,62567000000.0,71230000000.0,52503000000.0,50479000000.0,55241000000.0,33790000000.0
FirmA,Interest Income,5686000000.0,5201000000.0,3999000000.0,2921000000.0,1795000000.0,1616000000.0,1088000000.0,519000000.0
FirmA,Interest Expense,3240000000.0,2323000000.0,1456000000.0,733000000.0,384000000.0,136000000.0,0.0,0.0
FirmA,Other Non-Operating Items,,,,,,,,
FirmA,Pre-Tax Income,72903000000.0,64089000000.0,61372000000.0,72515000000.0,53483000000.0,50155000000.0,55763000000.0,34205000000.0
FirmA,Income Tax Expense,13372000000.0,15738000000.0,15685000000.0,19121000000.0,13973000000.0,13118000000.0,14030000000.0,8283000000.0
FirmA,Net Income,59531000000.0,48351000000.0,45687000000.0,53394000000.0,39510000000.0,37037000000.0,41733000000.0,25922000000.0
FirmB,Cash and Cash Equivalents,11946000000.0,7663000000.0,6510000000.0,5595000000.0,8669000000.0,3804000000.0,6938000000.0,9610000000.0
FirmB,Accounts Receivable,26481000000.0,22431000000.0,18277000000.0,17908000000.0,19544000000.0,17486000000.0,15780000000.0,14987000000.0
FirmB,Inventory,2662000000.0,2181000000.0,2251000000.0,2902000000.0,2660000000.0,1938000000.0,1137000000.0,1372000000.0
FirmB,Other Current Assets,6751000000.0,5103000000.0,5892000000.0,5461000000.0,6333000000.0,5020000000.0,5127000000.0,5787000000.0
FirmB,Total Current Assets,169662000000.0,159851000000.0,139660000000.0,124712000000.0,114246000000.0,101466000000.0,85084000000.0,74918000000.0
FirmB,Property Plant & Equipment,,,,,,,,
FirmB,Intangible Assets,8053000000.0,10106000000.0,3733000000.0,4835000000.0,6981000000.0,3083000000.0,3170000000.0,744000000.0
FirmB,Other Non-Current Assets,7442000000.0,6076000000.0,3409000000.0,3117000000.0,3422000000.0,2392000000.0,-515000000.0,-1033000000.0
FirmB,Total Assets,258848000000.0,250312000000.0,193468000000.0,174472000000.0,172384000000.0,142431000000.0,121271000000.0,108704000000.0
FirmB,Accounts Payable,8617000000.0,7390000000.0,6898000000.0,6591000000.0,7432000000.0,4828000000.0,4175000000.0,4197000000.0
FirmB,Short-Term Debt,5573000000.0,12375000000.0,12929000000.0,8090000000.0,2907000000.0,-1118000000.0,-2644000000.0,0.0
FirmB,Other Current Liabilities,13272000000.0,13503000000.0,11507000000.0,11743000000.0,12261000000.0,8359000000.0,7840000000.0,8275000000.0
FirmB,Total Current Liabilities,58488000000.0,55745000000.0,59357000000.0,49647000000.0,45625000000.0,37417000000.0,32688000000.0,28774000000.0
FirmB,Long-Term Debt,81935000000.0,83870000000.0,41318000000.0,27808000000.0,20645000000.0,12601000000.0,10713000000.0,11921000000.0
FirmB,Other Non-Current Liabilities,31351000000.0,14609000000.0,12879000000.0,13544000000.0,11594000000.0,10000000000.0,8208000000.0,8072000000.0
FirmB,Total Liabilities,176130000000.0,162601000000.0,121471000000.0,94389000000.0,82600000000.0,63487000000.0,54908000000.0,51621000000.0
FirmB,Total Equity,82718000000.0,87711000000.0,71997000000.0,80083000000.0,89784000000.0,78944000000.0,66363000000.0,57083000000.0
FirmB,Total Liabilities and Equity,258848000000.0,250312000000.0,193468000000.0,174472000000.0,172384000000.0,142431000000.0,121271000000.0,108704000000.0
FirmB,Revenues,110360000000.0,96571000000.0,91154000000.0,93580000000.0,86833000000.0,77849000000.0,73723000000.0,69943000000.0
FirmB,Cost of Goods Sold (COGS),38353000000.0,34261000000.0,32780000000.0,33038000000.0,27078000000.0,20385000000.0,17530000000.0,15577000000.0
FirmB,Gross Profit,72007000000.0,62310000000.0,58374000000.0,60542000000.0,59755000000.0,57464000000.0,56193000000.0,54366000000.0
FirmB,Operating Expenses,36949000000.0,32979000000.0,31186000000.0,32370000000.0,31869000000.0,30700000000.0,28237000000.0,27205000000.0
FirmB,Depreciation and Amortization,9954000000.0,7855000000.0,5947000000.0,5957000000.0,5212000000.0,3755000000.0,2967000000.0,2766000000.0
FirmB,Total Operating Expenses,,,,,,,,
FirmB,Operating Income,35058000000.0,29025000000.0,26078000000.0,18161000000.0,27759000000.0,26764000000.0,21763000000.0,27161000000.0
FirmB,Interest Income,2214000000.0,1387000000.0,0.0,0.0,0.0,0.0,0.0,900000000.0
FirmB,Interest Expense,2733000000.0,2222000000.0,1243000000.0,781000000.0,597000000.0,429000000.0,380000000.0,295000000.0
